29301001122,iPhone 12,EUR 450.00,Latest and greatest from Apple,234
29301001124,Nokia 3310,EUR 25.00,Connecting People,5
29301001123,OnePlus 7 Pro,EUR 700.00,Never Settle,170
29301001125,CAT B25,EUR 67.00,Let's Do the Work,2
29301001126,Nokia 800 Tough,EUR 128.00,Connecting People,26
29301001127,Samsung Galaxy Note 7,EUR 350.00,Exploding since 2015,0
29301001128,Microsoft Kin One,EUR 50.00,It's time to share,2
29301001129,BlackBerry Q10,EUR 369.00,Keep moving,10
29301001130,Nokia N-Gage,EUR 1917.00,Get out and play,2
29301001131,Aesir AE+Y,EUR 36000.00,Yes - the phone is made out of gold,1
